file_name,deployment,location,pollutant,timezone,start,end,header_type,,,,,,,,,,,,,,,,,,,,,,,,,
C14_121123_122124,F,R,,PDT,12/11/2023 1:00,12/21/2023 23:59,3.1.0,,Road,Road,Roadside,,,,,,,,,,,,,,,,,,,,,
C17_101023_122023,F,W,,PDT,10/10/2023 1:00,12/20/2023 23:59,3.1.0,,Wilmington,Wilmington,Wilmington,,,,,,,,,,,,,,,,,,,,,
NOTUSINGC7_040524_043024,C,,NOTUSINGCH4,PDT,4/5/2024 11:00,4/30/2024 23:59,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
NOTUSING_C24_040524_041924,C,,NOT USING_TVOC,PDT,4/5/2024 18:00,6/5/2024 15:00,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
NOTUSING_C7_071924_081324,C,,NOTUSINGCH4,PDT,7/19/2024 0:00,8/13/2024 0:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
C5_010124_031824,F,C2,,PDT,1/1/2024 0:05,3/18/2024 11:30,3.1.0,,,,Less than 500 m,,,,,,,,,,,,,,,,,,,,,
C1_062324_081024,F,C1,,PDT,6/5/2024 15:01,8/10/2024 0:00,3.1.0,,,,Less than 500 m,,,,,,,,,,,,,,,,,,,,,
C2_060524_080724,F,F1,,PDT,6/5/2024 15:01,8/7/2024 0:00,3.1.0,,,,More than 500m,,,,,,,,,,,,,,,,,,,,,
C3_060524_081324,F,D,,PDT,6/5/2024 15:01,8/13/2024 0:00,3.1.0,,,,Deconstructed well,,,,,,,,,,,,,,,,,,,,,
C4_060524_081324,F,O,,PDT,6/5/2024 15:01,8/13/2024 0:00,3.1.0,,,,Outlier home,,,,,,,,,,,,,,,,,,,,,
C5_060524_081224,F,C2,,PDT,6/5/2024 15:01,8/12/2024 0:00,3.1.0,,,,Less than 500 m,,,,,,,,,,,,,,,,,,,,,
C6_060524_081224,F,F2,,PDT,6/5/2024 15:01,8/12/2024 0:00,3.1.0,,,,More than 500m,,,,,,,,,,,,,,,,,,,,,
C14_060324_081224,F,R,,PDT,6/5/2024 15:01,8/12/2024 0:00,3.1.0,,,,Roadside,,,,,,,,,,,,,,,,,,,,,
C20_060524_081324,F,C4,,PDT,6/5/2024 15:01,8/13/2024 0:00,3.1.0,,,,Less than 500 m,,,,,,,,,,,,,,,,,,,,,
C22_060524_081324,F,I,,PDT,6/5/2024 15:01,8/13/2024 0:00,3.1.0,,,,Idle well,,,,,,,,,,,,,,,,,,,,,
C10_060624_080624,F,C3,,PST,6/5/2024 15:01,8/7/2024 0:00,3.1.2,,,,Less than 500 m,,,,,,,,,,,,,,,,,,,,,
C18_060724_081324,F,F5,,PST,6/5/2024 15:01,8/13/2024 0:00,3.1.2,,,,More than 500m,,,,,,,,,,,,,,,,,,,,,
C13_060524_081324,F,F4,,PDT,6/5/2024 15:01,8/13/2024 0:00,3.1.0,,,,More than 500m,,,,,,,,,,,,,,,,,,,,,
CU1_aug24harmon_part2,H,,,PDT,8/24/2024 0:00,9/5/2024 0:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
CU2_aug24harmon_part2,H,,,PDT,8/24/2024 0:00,9/5/2024 0:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
CU3_aug24harmon_part2,H,,,PDT,8/24/2024 0:00,9/5/2024 0:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
CU4_aug24harmon_part2,H,,,PDT,8/24/2024 0:00,9/5/2024 0:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
CU5_aug24harmon_part2,H,,,PDT,8/24/2024 0:00,9/5/2024 0:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
CU6_aug24harmon_part2,H,,,PDT,8/24/2024 0:00,9/5/2024 0:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
C7_aug24harmon_part2,H,,,PDT,8/24/2024 0:00,9/5/2024 0:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
C8_aug24harmon_part2,H,,,PDT,8/24/2024 0:00,9/5/2024 0:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
CU9_aug24harmon_part2,H,,,PDT,8/24/2024 0:00,9/5/2024 0:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
CU20_aug24harmon_part2,H,,,PDT,8/24/2024 0:00,9/5/2024 0:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
CU12_aug24harmon_part2,H,,,PDT,8/24/2024 0:00,9/5/2024 0:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
CU13_aug24harmon_part2,H,,,PDT,8/24/2024 0:00,9/5/2024 0:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
CU14_aug24harmon_part2,H,,,PDT,8/24/2024 0:00,9/5/2024 0:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
CU16_aug24harmon_part2,H,,,PDT,8/24/2024 0:00,9/5/2024 0:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
CU17_aug24harmon_part2,H,,,PDT,8/24/2024 0:00,9/5/2024 0:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
CU22_aug24harmon_part2,H,,,PDT,8/24/2024 0:00,9/5/2024 0:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
C24_aug24harmon_part2,H,,,PDT,8/24/2024 0:00,9/5/2024 0:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
CU30_aug24harmon_part2,H,,,PDT,8/24/2024 0:00,9/5/2024 0:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
CU28_aug24harmon_part2,H,,,PDT,8/24/2024 0:00,9/5/2024 0:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
CU27_aug24harmon_part2,H,,,PDT,8/24/2024 0:00,9/5/2024 0:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
CU6_090624_111524,F,F2,,PDT,9/6/2024 0:00,11/15/2024 0:00,3.1.2,,,,More than 500m,,,,,,,,,,,,,,,,,,,,,
CU3_090624_111524,F,D,,PDT,9/6/2024 0:00,11/15/2024 0:00,3.1.2,,,,Deconstructed well,,,,,,,,,,,,,,,,,,,,,
CU20_090624_111524,F,C4,,PDT,9/6/2024 0:00,11/15/2024 0:00,3.1.2,,,,Less than 500 m,,,,,,,,,,,,,,,,,,,,,
CU27_090624_111524,F,C5,,PDT,9/6/2024 0:00,11/15/2024 0:00,3.1.2,,,,Less than 500 m,,,,,,,,,,,,,,,,,,,,,
CU4_090624_111524,F,O,,PDT,9/6/2024 0:00,11/15/2024 0:00,3.1.2,,,,Outlier home,,,,,,,,,,,,,,,,,,,,,
CU2_090624_111524,F,F1,,PDT,9/6/2024 0:00,11/15/2024 0:00,3.1.2,,,,More than 500m,,,,,,,,,,,,,,,,,,,,,
CU13_090624_111524,F,F4,,PDT,9/6/2024 0:00,11/15/2024 0:00,3.1.2,,,,More than 500m,,,,,,,,,,,,,,,,,,,,,
CU5_090624_111524,F,C2,,PDT,9/6/2024 0:00,11/15/2024 0:00,3.1.2,,,,Less than 500 m,,,,,,,,,,,,,,,,,,,,,
CU14_090624_111524,F,R,,PDT,9/6/2024 0:00,11/15/2024 0:00,3.1.2,,,,Roadside,,,,,,,,,,,,,,,,,,,,,
